paarcode,g_1,g_2,age_1,age_2,civil_status_1,civil_status_2,duration_months_1,duration_months_2,n_m_1,n_m_2,n_e_1,n_e_2,n_o_1,n_o_2,n_a_1,n_a_2,n_c_1,n_c_2,mean_relationship_satisfaction_1,mean_relationship_satisfaction_2,mean_relationship_satisfaction_T2_1,mean_relationship_satisfaction_T2_2,pooled_standardized_n_1,pooled_standardized_n_2,pooled_standardized_e_1,pooled_standardized_e_2,pooled_standardized_o_1,pooled_standardized_o_2,pooled_standardized_a_1,pooled_standardized_a_2,pooled_standardized_c_1,pooled_standardized_c_2,pooled_standardized_relationship_satisfaction_1,pooled_standardized_relationship_satisfaction_2,pooled_standardized_relationship_satisfaction_T2_1,pooled_standardized_relationship_satisfaction_T2_2
27,1,2,50,67,2,2,197,197,3,4,4,3,4,4,4,4,5,4,3,4,4,3.43,0.13,1.85,0.58,-0.4,0.26,0.22,-0.42,0.04,1.07,0.46,-1.24,-0.92,-0.43,-1.49
28,1,2,43,44,2,2,255,255,5,3,3,3,4,3,3,4,3,4,4,4,,,2.26,0.07,-1.43,-0.4,-0.1,-1.21,-1.26,0.04,-1.61,0.08,-0.79,-0.46,,
29,1,2,69,75,2,2,581,581,3,2,3,2,3,3,4,4,4,4,4,4,,,-0.05,-1.04,-0.7,-1.86,-0.64,-2,0.83,0.25,0.69,0.46,-0.79,-0.46,,
30,1,2,22,30,1,1,15,15,3,4,3,2,4,4,5,2,3,3,5,4,,,0.66,1.49,-1.79,-2.04,0.61,0.22,1.24,-3.3,-1.22,-1.83,0.8,-0.01,,
31,1,2,57,57,2,2,289,289,4,2,3,3,3,4,4,4,4,3,4,4,4,4.14,1.37,-0.1,-1.61,-0.22,-1.18,-0.13,-0.22,0.67,-0.84,-1.64,-0.33,-0.46,-0.43,-0.3
32,1,2,50,60,2,2,291,291,4,2,4,4,4,4,4,4,4,4,5,5,,,0.84,-0.81,0.03,0.33,1.15,0.04,-0.01,0.25,0.69,0.27,0.57,0.44,,
33,1,2,50,50,2,2,282,282,2,3,4,5,3,4,4,4,3,4,5,5,5,4.43,-1.47,0.78,0.4,1.42,-1,0.4,-0.42,0.67,-1.22,0.08,1.25,0.89,1.23,0.18
34,1,2,26,26,1,1,1,3,3,2,4,3,4,4,4,4,4,3,5,5,,,-0.41,-0.46,0.76,-0.4,-0.28,1.3,-0.22,1.09,0.5,-1.07,1.25,0.89,,
35,1,2,51,53,2,2,325,325,3,3,4,2,3,3,4,4,4,4,4,4,4.14,3.86,-0.05,0.78,0.21,-2.04,-0.82,-1.03,-0.42,0.46,-0.27,0.27,0.12,-0.69,-0.2,-0.78
36,1,2,21,20,1,1,46,46,4,3,4,3,3,2,3,3,4,4,4,4,,,1.72,0.25,0.76,-0.22,-1.18,-2.28,-1.26,-1.21,-0.46,0.66,0.12,0.21,,
37,1,2,49,50,2,2,267,267,3,2,4,3,4,3,4,4,4,4,5,5,4.57,4.71,0.3,-0.1,0.94,-1.13,0.79,-0.49,-0.22,0.67,0.12,-0.3,0.57,0.89,0.52,0.65
38,1,2,74,75,2,2,615,615,3,3,3,4,3,4,4,4,5,4,5,5,5,5,0.48,0.43,-0.88,0.33,-0.46,0.94,-0.63,0.04,1.07,0.85,1.25,1.12,1.23,1.13
39,1,2,49,55,2,2,277,277,2,4,4,3,4,4,4,4,4,3,4,4,,,-1.47,1.49,0.21,-0.22,-0.28,1.12,-0.22,0.04,0.12,-0.88,-0.56,-0.01,,
40,1,2,79,81,2,2,647,647,3,3,3,3,3,3,3,4,4,4,4,5,4.14,4.71,0.48,0.25,-1.61,-1.5,-0.82,-0.49,-1.26,1.09,-0.65,0.66,0.34,0.67,-0.2,0.65
41,1,2,48,52,2,2,266,266,3,3,4,4,3,3,4,3,5,4,4,4,,,0.13,1.32,-0.15,0.14,-0.82,-1.75,0.41,-2.04,0.88,0.08,-0.56,-0.24,,
42,1,2,52,51,2,2,254,254,4,3,2,3,5,3,5,4,4,4,5,4,3.43,3.57,1.72,0.61,-1.97,-1.32,1.69,-1.75,1.66,-0.16,0.5,-0.68,1.02,-1.14,-1.39,-1.25
43,1,2,21,22,1,1,7,7,3,3,5,3,4,3,3,3,5,4,5,4,,,0.48,0.43,1.86,-0.77,0.79,-1.75,-1.05,-1,1.07,-0.11,1.25,-0.46,,
44,1,2,86,85,2,2,721,721,2,2,3,3,3,4,5,4,4,4,4,5,,,-2,-0.64,-1.43,-0.22,-0.64,0.76,1.87,0,-0.07,0.08,-0.33,0.89,,
45,1,2,50,58,2,2,264,264,4,2,4,4,3,4,4,4,4,4,5,5,4.29,3.86,1.55,-0.1,0.03,0.33,-0.46,-0.31,1.04,-0.16,-0.84,-0.49,0.57,0.67,0.04,-0.78
46,1,2,77,77,2,2,628,628,2,3,4,3,4,2,4,4,4,4,4,5,,,-1.29,0.43,-0.15,-0.95,0.79,-2.46,0.41,0.67,-0.65,-0.11,0.34,0.67,,
