Variable,parcode,sd01T1.1,sd01T1.2,sd02T1.1,sd02T1.2,sd04T1.1,sd04T1.2,sd05aT1.1,sd05aT1.2,reldur.1,reldur.2,m_n_s.1,m_n_s.2,m_e_s.1,m_e_s.2,m_o_s.1,m_o_s.2,m_a_s.1,m_a_s.2,m_c_s.1,m_c_s.2,m_ras.1,m_ras.2,m_rasT2.1,m_rasT2.2,psd_m_n_s.1,psd_m_n_s.2,psd_m_e_s.1,psd_m_e_s.2,psd_m_o_s.1,psd_m_o_s.2,psd_m_a_s.1,psd_m_a_s.2,psd_m_c_s.1,psd_m_c_s.2,psd_m_ras.1,psd_m_ras.2,psd_m_rasT2.1,psd_m_rasT2.2
Label,Paarcode,Geschlecht.1,Geschlecht.2,sd02T1.1: Alter in Jahren,sd02T1.2: Alter in Jahren,sd04T1.1: Zivilstand,sd04T1.2: Zivilstand,sd05aT1.1: falls Beziehung; seit wann? Eingabe in Monaten,sd05aT1.2: falls Beziehung; seit wann? Eingabe in Monaten,relationship duration in months,relationship duration in months,mean neuroticism female,mean neuroticism male,mean extraversion female,mean extraversion male,mean openness female,mean openness male,mean agreeableness female,mean agreeableness male,mean conscientiousness female,mean conscientiousness male,mean relationship satisfaction female,mean relationship satisfaction male,mean relationship satisfaction T2 female,mean relationship satisfaction T2 male,pooled standardized neuroticism female,pooled standardized neuroticism male,pooled standardized extraversion female,pooled standardized extraversion male,pooled standardized openness female,pooled standardized openness male,pooled standardized agreeableness female,pooled standardized agreeableness male,pooled standardized conscientiousness female,pooled standardized conscientiousness male,pooled standardized relationship satisfaction female,pooled standardized relationship satisfaction male,pooled standardized relationship satisfaction T2 female,pooled standardized relationship satisfaction T2 male
,20,1.00,2.00,44,44,2,2,888.0,888.0,252,252,2,2,5,4,3,3,4,4,5,5,5,5,4.29,5.00,-1.29,-0.46,1.13,0.87,-0.64,-1.39,-0.01,0.67,1.27,1.61,0.57,1.12,0.04,1.13
,21,1.00,2.00,59,49,2,2,888.0,888.0,251,251,3,3,4,4,4,4,4,4,2,4,3,5,4.86,4.71,0.13,0.61,0.58,0.33,1.15,0.58,-0.22,0.25,-2.75,-0.49,-1.47,0.67,1.00,0.65
,22,1.00,2.00,52,50,2,2,888.0,888.0,246,246,3,2,5,5,4,5,4,4,5,4,5,5,4.71,4.71,0.13,-0.28,1.31,1.60,0.97,2.01,0.20,0.25,1.07,0.27,1.02,0.67,0.76,0.65
,23,1.00,2.00,21,29,1,1,8.0,8.0,8,8,3,2,4,5,4,4,3,4,4,4,5,5,4.71,4.71,0.30,-1.35,0.76,1.42,0.44,0.22,-1.05,-0.37,-0.65,0.08,1.02,1.12,0.76,0.65
,24,1.00,2.00,52,53,2,2,888.0,888.0,287,287,3,2,4,4,4,4,4,4,3,4,4,5,,,0.13,-0.99,0.58,0.69,0.08,0.22,-0.01,-0.58,-1.80,0.85,-0.56,0.89,,
,25,1.00,2.00,24,28,2,2,888.0,888.0,39,39,3,3,4,4,3,3,3,3,4,3,5,5,,,0.66,0.61,0.40,0.51,-0.38,-1.21,-1.47,-1.21,0.31,-1.07,0.57,0.67,,
,26,1.00,2.00,50,51,2,2,888.0,888.0,317,317,3,1,4,4,4,4,4,4,4,3,4,4,4.57,4.14,-0.23,-1.52,0.58,0.87,0.61,-0.21,-0.01,-0.16,-0.07,-1.45,-0.33,-0.92,0.52,-0.30
,27,1.00,2.00,50,67,2,2,888.0,888.0,197,197,3,4,4,3,4,4,4,4,5,4,3,4,4.00,3.43,0.13,1.85,0.58,-0.40,0.26,0.22,-0.42,0.04,1.07,0.46,-1.24,-0.92,-0.43,-1.49
,28,1.00,2.00,43,44,2,2,888.0,888.0,255,255,5,3,3,3,4,3,3,4,3,4,4,4,,,2.26,0.07,-1.43,-0.40,-0.10,-1.21,-1.26,0.04,-1.61,0.08,-0.79,-0.46,,
,29,1.00,2.00,69,75,2,2,888.0,888.0,581,581,3,2,3,2,3,3,4,4,4,4,4,4,,,-0.05,-1.04,-0.70,-1.86,-0.64,-2.00,0.83,0.25,0.69,0.46,-0.79,-0.46,,
,30,1.00,2.00,22,30,1,1,15.0,15.0,15,15,3,4,3,2,4,4,5,2,3,3,5,4,,,0.66,1.49,-1.79,-2.04,0.61,0.22,1.24,-3.30,-1.22,-1.83,0.80,-0.01,,
,31,1.00,2.00,57,57,2,2,888.0,888.0,289,289,4,2,3,3,3,4,4,4,4,3,4,4,4.00,4.14,1.37,-0.10,-1.61,-0.22,-1.18,-0.13,-0.22,0.67,-0.84,-1.64,-0.33,-0.46,-0.43,-0.30
,32,1.00,2.00,50,60,2,2,888.0,888.0,291,291,4,2,4,4,4,4,4,4,4,4,5,5,,,0.84,-0.81,0.03,0.33,1.15,0.04,-0.01,0.25,0.69,0.27,0.57,0.44,,
,33,1.00,2.00,50,50,2,2,888.0,888.0,282,282,2,3,4,5,3,4,4,4,3,4,5,5,5.00,4.43,-1.47,0.78,0.40,1.42,-1.00,0.40,-0.42,0.67,-1.22,0.08,1.25,0.89,1.23,0.18
,34,1.00,2.00,26,26,1,1,1.0,2.5,1,3,3,2,4,3,4,4,4,4,4,3,5,5,,,-0.41,-0.46,0.76,-0.40,-0.28,1.30,-0.22,1.09,0.50,-1.07,1.25,0.89,,
,35,1.00,2.00,51,53,2,2,888.0,888.0,325,325,3,3,4,2,3,3,4,4,4,4,4,4,4.14,3.86,-0.05,0.78,0.21,-2.04,-0.82,-1.03,-0.42,0.46,-0.27,0.27,0.12,-0.69,-0.20,-0.78
,36,1.00,2.00,21,20,1,1,46.0,46.0,46,46,4,3,4,3,3,2,3,3,4,4,4,4,,,1.72,0.25,0.76,-0.22,-1.18,-2.28,-1.26,-1.21,-0.46,0.66,0.12,0.21,,
,37,1.00,2.00,49,50,2,2,888.0,888.0,267,267,3,2,4,3,4,3,4,4,4,4,5,5,4.57,4.71,0.30,-0.10,0.94,-1.13,0.79,-0.49,-0.22,0.67,0.12,-0.30,0.57,0.89,0.52,0.65
,38,1.00,2.00,74,75,2,2,888.0,888.0,615,615,3,3,3,4,3,4,4,4,5,4,5,5,5.00,5.00,0.48,0.43,-0.88,0.33,-0.46,0.94,-0.63,0.04,1.07,0.85,1.25,1.12,1.23,1.13
,39,1.00,2.00,49,55,2,2,888.0,888.0,277,277,2,4,4,3,4,4,4,4,4,3,4,4,,,-1.47,1.49,0.21,-0.22,-0.28,1.12,-0.22,0.04,0.12,-0.88,-0.56,-0.01,,
,40,1.00,2.00,79,81,2,2,888.0,888.0,647,647,3,3,3,3,3,3,3,4,4,4,4,5,4.14,4.71,0.48,0.25,-1.61,-1.50,-0.82,-0.49,-1.26,1.09,-0.65,0.66,0.34,0.67,-0.20,0.65
,41,1.00,2.00,48,52,2,2,888.0,888.0,266,266,3,3,4,4,3,3,4,3,5,4,4,4,,,0.13,1.32,-0.15,0.14,-0.82,-1.75,0.41,-2.04,0.88,0.08,-0.56,-0.24,,
,42,1.00,2.00,52,51,2,2,888.0,888.0,254,254,4,3,2,3,5,3,5,4,4,4,5,4,3.43,3.57,1.72,0.61,-1.97,-1.32,1.69,-1.75,1.66,-0.16,0.50,-0.68,1.02,-1.14,-1.39,-1.25
,43,1.00,2.00,21,22,1,1,6.5,6.5,7,7,3,3,5,3,4,3,3,3,5,4,5,4,,,0.48,0.43,1.86,-0.77,0.79,-1.75,-1.05,-1.00,1.07,-0.11,1.25,-0.46,,
,44,1.00,2.00,86,85,2,2,888.0,888.0,721,721,2,2,3,3,3,4,5,4,4,4,4,5,,,-2.00,-0.64,-1.43,-0.22,-0.64,0.76,1.87,0.00,-0.07,0.08,-0.33,0.89,,
,45,1.00,2.00,50,58,2,2,888.0,888.0,264,264,4,2,4,4,3,4,4,4,4,4,5,5,4.29,3.86,1.55,-0.10,0.03,0.33,-0.46,-0.31,1.04,-0.16,-0.84,-0.49,0.57,0.67,0.04,-0.78
,46,1.00,2.00,77,77,2,2,888.0,888.0,628,628,2,3,4,3,4,2,4,4,4,4,4,5,,,-1.29,0.43,-0.15,-0.95,0.79,-2.46,0.41,0.67,-0.65,-0.11,0.34,0.67,,
,47,1.00,2.00,57,57,2,2,888.0,888.0,351,351,3,2,5,4,3,4,4,4,5,4,5,4,,,-0.58,-0.28,1.49,0.69,-0.46,0.76,0.20,0.88,1.65,-0.11,1.02,-0.46,,
,48,1.00,2.00,19,20,1,1,13.0,13.0,13,13,4,4,4,4,3,3,3,3,3,4,5,5,5.00,5.00,1.01,1.49,0.21,0.51,-0.46,-0.49,-1.68,-0.79,-1.99,-0.30,1.25,1.12,1.23,1.13
,49,1.00,2.00,53,58,2,2,888.0,888.0,269,269,4,2,5,4,4,3,4,4,4,3,5,4,4.43,4.00,0.84,-0.23,1.13,0.14,0.61,-1.21,-0.26,1.30,-0.07,-1.07,0.57,-0.92,0.28,-0.54
,50,1.00,2.00,77,83,2,2,888.0,888.0,657,657,3,2,5,4,5,3,4,4,5,4,3,3,,,-0.23,-0.28,1.67,0.87,1.51,-0.49,-0.84,-0.37,1.07,-0.68,-1.92,-1.60,,
,51,1.00,2.00,53,56,2,2,888.0,888.0,316,316,2,3,3,4,3,4,4,4,5,4,3,4,,,-1.47,0.78,-0.51,0.33,-0.64,-0.31,-0.22,0.04,1.07,-0.49,-1.69,-0.92,,
,52,1.00,2.00,22,23,1,1,8.0,8.0,8,8,3,3,4,3,4,4,4,4,4,3,5,5,5.00,4.57,-0.58,0.78,0.58,-0.95,0.44,0.94,0.62,1.09,0.69,-1.45,1.25,0.44,1.23,0.42
,53,1.00,2.00,20,19,1,1,6.5,6.5,7,7,4,4,3,3,4,4,3,3,4,4,4,5,,,1.55,1.67,-0.51,-0.59,0.97,0.22,-2.09,-2.25,0.12,0.08,0.34,1.12,,
,54,1.00,2.00,52,55,2,2,888.0,888.0,357,357,4,2,3,4,5,4,3,4,4,3,3,4,,,1.55,-0.99,-0.51,0.33,1.87,0.40,-1.05,0.04,-0.07,-1.21,-1.47,-0.92,,
,55,1.00,2.00,48,47,2,2,888.0,888.0,294,294,2,3,5,3,4,3,5,4,5,4,5,5,4.86,4.71,-1.47,0.43,1.86,-0.40,0.79,-1.39,1.87,1.09,1.65,-0.68,1.25,0.67,1.00,0.65
,56,1.00,2.00,78,79,2,2,888.0,888.0,691,691,3,3,3,4,3,3,4,4,4,4,5,4,,,-0.41,1.32,-1.24,0.14,-1.89,-0.85,0.20,-0.16,0.12,0.08,0.57,-0.01,,
,57,1.00,2.00,48,47,2,2,888.0,888.0,238,238,3,2,4,5,4,4,4,3,4,4,4,5,,,0.13,-0.46,0.03,1.42,0.97,0.40,0.83,-1.21,-0.27,0.08,-1.01,0.44,,
,58,1.00,2.00,49,54,2,2,888.0,888.0,276,276,4,2,4,3,4,4,4,4,4,4,5,5,4.71,4.57,1.19,-0.64,0.58,-1.50,0.97,0.94,-0.84,-0.16,0.50,-0.11,1.02,0.67,0.76,0.42
,59,1.00,2.00,52,53,2,2,888.0,888.0,274,274,2,3,4,3,4,3,4,4,5,4,4,3,,,-1.29,0.78,0.58,-0.40,0.26,-0.67,0.20,0.88,0.88,-0.30,-0.79,-2.27,,
,60,1.00,2.00,75,77,2,2,888.0,888.0,636,636,4,3,4,4,4,4,4,5,4,3,3,4,3.57,4.43,1.72,0.43,0.76,1.24,-0.28,1.12,-0.84,2.55,0.12,-1.45,-1.69,-0.46,-1.15,0.18
,61,1.00,2.00,50,51,2,2,888.0,888.0,317,317,3,2,4,2,4,4,5,4,4,5,4,5,4.57,4.71,-0.23,-0.46,0.21,-1.68,0.08,0.04,2.08,0.67,0.50,1.23,-0.11,1.12,0.52,0.65
,62,1.00,2.00,52,52,2,2,888.0,888.0,266,266,3,2,4,5,4,5,4,4,4,4,5,5,4.86,5.00,0.13,-0.10,0.40,1.79,0.61,1.83,0.83,0.04,-0.65,-0.68,1.02,1.12,1.00,1.13
,63,1.00,2.00,20,25,1,1,10.0,11.0,10,11,4,3,5,4,4,3,3,3,4,4,5,4,4.57,4.29,1.37,0.25,1.31,0.14,1.15,-1.75,-1.05,-1.63,0.50,-0.11,0.80,-0.01,0.52,-0.06
,64,1.00,2.00,50,53,2,2,888.0,888.0,316,316,2,2,5,4,4,4,4,4,4,4,4,4,,,-1.29,-1.35,1.31,1.06,0.08,0.40,-0.42,-0.16,-0.27,0.85,-0.33,-0.69,,
,65,1.00,2.00,21,20,1,1,10.0,10.0,10,10,3,2,3,4,4,3,4,5,3,3,5,5,4.86,5.00,0.13,-0.99,-0.70,-0.04,0.26,-1.21,0.20,1.71,-1.22,-1.83,0.80,1.12,1.00,1.13
,66,1.00,2.00,50,53,2,2,888.0,888.0,282,282,2,3,4,4,4,4,5,4,5,4,4,4,4.29,3.86,-1.82,1.14,0.94,0.14,0.08,-0.31,1.87,0.67,1.07,-0.11,-0.79,-0.01,0.04,-0.78
,67,1.00,2.00,79,77,2,2,888.0,888.0,658,658,4,4,3,4,3,3,4,4,4,4,5,5,4.57,5.00,0.84,1.85,-0.70,0.51,-1.71,-1.39,0.83,0.46,-0.07,0.66,1.02,0.89,0.52,1.13
,68,1.00,2.00,20,22,1,1,20.0,20.0,20,20,3,2,3,4,4,3,3,4,3,5,4,4,3.71,4.00,0.48,-0.28,-1.06,-0.04,0.08,-0.49,-1.05,0.04,-1.61,1.23,-0.33,-0.01,-0.91,-0.54
,69,1.00,2.00,44,48,2,2,888.0,888.0,212,212,4,3,3,4,4,4,4,4,4,4,3,4,3.14,3.86,1.19,0.96,-0.88,-0.04,0.61,0.40,-0.84,-0.58,0.50,-0.30,-1.92,-0.69,-1.86,-0.78
,70,1.00,2.00,66,70,2,2,888.0,888.0,559,559,2,3,4,3,3,4,4,3,3,4,4,4,4.29,4.00,-1.29,0.07,-0.33,-0.95,-1.35,-0.21,-0.63,-1.21,-1.41,0.85,-0.11,-0.24,0.04,-0.54
,71,1.00,2.00,19,21,1,1,33.0,33.0,33,33,3,3,3,4,4,3,4,3,5,4,5,4,,,0.66,0.07,-1.24,1.24,-0.10,-0.49,-0.22,-0.79,1.46,0.46,0.80,-0.24,,
,72,1.00,2.00,54,72,2,2,888.0,888.0,362,362,3,4,3,3,4,4,4,4,3,4,3,,,,0.13,1.67,-1.06,-0.77,-0.10,1.30,-0.01,-0.16,-1.61,0.08,-1.69,,,
,73,1.00,2.00,51,53,2,2,888.0,888.0,254,254,3,2,4,4,4,4,4,4,4,4,2,3,,,-0.23,-0.46,0.76,-0.04,0.44,0.04,-0.42,-0.58,0.12,-0.11,-3.95,-2.50,,
,74,1.00,2.00,55,47,2,2,888.0,888.0,168,168,4,3,4,2,4,3,4,4,5,3,5,4,5.00,5.00,2.08,1.14,-0.15,-1.86,0.26,-0.41,-0.63,0.04,1.07,-1.26,1.25,-0.46,1.23,1.13
,75,1.00,2.00,51,54,2,2,888.0,888.0,276,276,4,3,3,4,3,4,3,4,4,4,4,5,,,2.08,0.78,-1.24,0.51,-0.46,1.12,-1.47,0.88,0.31,0.27,-0.33,0.67,,
,76,1.00,2.00,49,51,2,2,888.0,888.0,265,265,4,2,3,3,3,3,4,3,5,4,3,4,3.86,3.43,1.55,-0.46,-0.44,-0.77,-0.82,-0.49,-0.26,-1.83,0.88,-0.11,-1.47,-0.92,-0.67,-1.49
,77,1.00,2.00,45,46,2,2,888.0,888.0,252,252,2,2,4,4,4,3,4,4,5,5,5,4,4.29,4.29,-0.76,-0.81,0.94,0.14,0.97,-1.92,0.41,0.88,1.65,1.23,0.57,-0.46,0.04,-0.06
,78,1.00,2.00,53,62,2,2,888.0,888.0,294,294,1,3,5,4,4,3,5,3,5,4,3,4,,,-2.53,0.07,1.31,1.06,1.15,-0.67,2.29,-1.63,1.65,0.27,-1.69,-0.92,,
,79,1.00,2.00,24,27,1,1,24.0,24.0,24,24,4,3,4,4,4,5,4,4,3,3,2,3,2.43,2.71,0.84,0.61,0.40,1.06,0.61,1.66,-0.84,0.25,-2.18,-1.64,-3.50,-2.50,-3.06,-2.68
,80,1.00,2.00,20,23,1,1,40.0,40.0,40,40,3,3,2,3,3,3,4,3,3,4,4,4,,,0.66,1.32,-1.97,-0.22,-0.82,-1.03,1.04,-1.21,-1.41,-0.49,-1.01,-0.69,,
,81,1.00,2.00,54,53,2,2,888.0,888.0,282,282,5,4,3,5,4,4,3,4,4,4,4,4,4.43,4.29,2.43,1.49,-0.51,1.60,1.15,1.30,-2.30,0.88,-0.46,0.66,-0.33,0.21,0.28,-0.06
,82,1.00,2.00,23,24,1,1,4.0,4.0,4,4,4,3,4,4,4,4,4,3,4,4,5,5,4.14,4.86,0.84,0.78,-0.15,0.51,0.97,0.58,0.41,-1.21,-0.27,0.08,1.02,1.12,-0.20,0.89
,83,1.00,2.00,19,20,1,1,29.0,29.0,29,29,4,4,3,3,4,3,4,4,4,1,4,3,,,1.55,2.20,-0.51,-0.40,0.44,-1.21,1.04,0.04,0.50,-4.51,-0.79,-1.82,,
,84,1.00,2.00,54,54,2,2,888.0,888.0,318,318,3,3,3,4,4,3,4,4,4,4,4,5,4.71,4.71,-0.23,0.61,-0.51,0.69,-0.28,-0.85,0.20,-0.58,-0.46,-0.11,0.34,0.89,0.76,0.65
,85,1.00,2.00,58,55,2,2,888.0,888.0,267,267,3,1,5,3,5,4,4,5,4,4,5,5,5.00,5.00,0.30,-1.88,1.86,-1.13,1.87,0.04,-0.01,1.51,-0.46,0.46,1.02,0.67,1.23,1.13
,86,1.00,2.00,47,59,2,2,888.0,888.0,220,220,3,3,4,4,5,4,4,4,5,4,5,4,4.29,4.29,0.30,0.07,-0.33,0.69,1.69,0.76,0.20,-0.37,1.27,-0.30,0.80,0.21,0.04,-0.06
,87,1.00,2.00,19,20,1,1,14.0,14.0,14,14,4,2,4,4,4,3,4,4,4,4,5,5,4.71,4.71,0.84,-0.64,0.58,0.69,-0.28,-1.57,-0.22,-0.16,-0.46,-0.11,1.25,1.12,0.76,0.65
,88,1.00,2.00,18,20,1,1,24.0,24.0,24,24,2,3,4,4,4,4,5,3,4,4,5,5,4.86,4.86,-0.76,0.43,0.58,0.69,-0.10,0.04,1.66,-1.21,0.50,-0.49,1.02,0.89,1.00,0.89
,89,1.00,2.00,47,51,2,2,888.0,888.0,254,255,4,2,4,4,3,4,3,4,4,4,5,5,4.86,4.86,1.19,-0.10,0.40,0.51,-1.53,-0.13,-1.47,-0.16,0.12,0.85,0.80,0.67,1.00,0.89
,90,1.00,2.00,76,80,2,2,888.0,888.0,586,586,3,2,4,3,3,3,5,3,5,4,4,4,4.43,3.86,-0.58,-0.64,0.40,-0.59,-0.82,-0.67,1.66,-1.83,1.27,0.46,-0.56,-0.24,0.28,-0.78
,91,1.00,2.00,56,56,2,2,888.0,888.0,257,257,5,2,4,3,3,3,5,5,3,4,4,4,,,2.61,-1.35,-0.33,-0.95,-1.35,-0.49,1.45,2.55,-1.22,0.66,-0.79,-0.24,,
,92,1.00,2.00,81,85,2,2,888.0,888.0,684,684,2,2,4,4,3,4,4,5,5,5,5,5,,,-1.11,-0.99,-0.33,0.87,-1.18,-0.31,0.83,1.51,0.88,1.42,1.02,0.89,,
,93,1.00,2.00,50,50,2,2,888.0,888.0,228,228,2,3,4,4,5,4,4,4,4,4,3,3,,,-0.76,0.07,0.94,0.14,1.51,0.76,0.62,0.67,-0.07,-0.11,-1.47,-1.82,,
,94,1.00,2.00,57,58,2,2,888.0,888.0,291,291,3,2,3,4,5,4,4,4,4,5,4,4,4.29,4.43,0.30,-0.99,-1.24,0.14,2.05,-0.13,0.62,1.09,0.31,1.61,-1.01,-0.46,0.04,0.18
,95,1.00,2.00,69,69,2,2,888.0,888.0,503,503,4,4,3,3,3,4,4,3,4,4,4,4,,,1.72,2.56,-0.88,-0.22,-1.53,0.58,-0.01,-1.00,0.12,-0.68,-0.79,-0.69,,
,96,1.00,2.00,18,18,1,1,13.0,13.0,13,13,3,2,3,4,4,4,4,4,5,3,4,4,,,0.48,-0.99,-1.24,1.24,0.97,1.30,-0.84,1.30,1.07,-1.07,0.12,-0.92,,
,97,1.00,2.00,50,57,2,2,888.0,888.0,325,325,2,2,4,3,3,4,4,4,5,4,4,4,,,-1.29,-0.46,0.94,-0.59,-1.35,-0.13,0.41,0.25,1.65,0.27,-0.56,-0.24,,
,98,1.00,2.00,53,51,2,2,888.0,888.0,242,242,3,3,3,4,4,4,4,4,4,5,3,3,,,0.66,0.07,-0.51,0.87,0.08,0.58,0.41,0.04,0.69,1.42,-1.47,-1.82,,
,99,1.00,2.00,49,49,2,2,888.0,888.0,241,241,3,2,3,3,3,4,4,4,3,4,4,4,,,0.13,-0.46,-1.43,-0.59,-1.18,0.40,-0.22,-0.58,-1.22,-0.11,0.34,-0.46,,
,100,1.00,2.00,49,47,2,2,888.0,888.0,232,228,2,4,4,5,4,5,4,4,5,5,5,5,,,-1.11,1.85,0.76,1.42,0.08,1.66,1.04,0.04,1.46,1.23,1.02,0.44,,
,101,1.00,2.00,74,80,2,2,888.0,888.0,600,600,3,2,4,4,4,5,4,4,4,5,5,5,4.71,4.29,0.48,-0.99,0.94,0.87,0.08,1.48,0.83,0.04,0.50,1.42,1.02,0.89,0.76,-0.06
,102,1.00,2.00,19,20,1,1,21.0,21.0,21,21,4,2,3,2,3,3,3,4,3,3,5,4,4.43,4.14,1.37,-0.81,-0.51,-1.68,-0.46,-1.75,-1.89,0.04,-1.80,-1.64,0.80,0.21,0.28,-0.30
